Threads,Tolerance,Integral,Error,Time(sec)
1,1e-4,4.148140671196797e-01,7.189771265853073e-05,0
1,1e-5,4.147426081808019e-01,4.387737806976766e-07,0
1,1e-6,4.147421760788315e-01,6.671810270919565e-09,0
1,1e-7,4.147421707831815e-01,1.376160352339895e-09,0
2,1e-4,4.148140671196797e-01,7.189771265853073e-05,0
2,1e-5,4.147426081808019e-01,4.387737806976766e-07,0
2,1e-6,4.147421760788315e-01,6.671810270919565e-09,0
2,1e-7,4.147421707831815e-01,1.376160352339895e-09,0
4,1e-4,4.147514586309898e-01,9.289223968644844e-06,0
4,1e-5,4.147422626446049e-01,9.323758370927138e-08,0
4,1e-6,4.147421657149841e-01,3.692037064961795e-09,0
4,1e-7,4.147421708266945e-01,1.419673323344028e-09,0
8,1e-4,4.148294083027016e-01,8.723889568040821e-05,0
8,1e-5,4.147421896060607e-01,2.019903949657120e-08,0
8,1e-6,4.147421896060607e-01,2.019903955208235e-08,0
8,1e-7,4.147421702795177e-01,8.724964639661437e-10,0
16,1e-4,4.147674940930937e-01,2.532468607252536e-05,0
16,1e-5,4.147422428171545e-01,7.341013336104041e-08,0
16,1e-6,4.147421455090962e-01,2.389792497226040e-08,0
16,1e-7,4.147421704113815e-01,1.004360317136133e-09,0
