x,exp(x)
0.00,1.0000
0.02,1.0202
0.04,1.0408
0.06,1.0618
0.08,1.0833
0.10,1.1052
0.12,1.1275
0.14,1.1503
0.16,1.1735
0.18,1.1972
0.20,1.2214
0.22,1.2461
0.24,1.2712
0.26,1.2969
0.28,1.3231
0.30,1.3499
0.32,1.3771
0.34,1.4049
0.36,1.4333
0.38,1.4623
0.40,1.4918
0.42,1.5220
0.44,1.5527
0.46,1.5841
0.48,1.6161
0.50,1.6487
0.52,1.6820
0.54,1.7160
0.56,1.7507
0.58,1.7860
0.60,1.8221
0.62,1.8589
0.64,1.8965
0.66,1.9348
0.68,1.9739
0.70,2.0138
0.72,2.0544
0.74,2.0959
0.76,2.1383
0.78,2.1815
0.80,2.2255
0.82,2.2705
0.84,2.3164
0.86,2.3632
0.88,2.4109
0.90,2.4596
0.92,2.5093
0.94,2.5600
0.96,2.6117
0.98,2.6645
1.00,2.7183
